subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject01,1,0.0,40.0,1.4386,86.32,1.4,84.0,88.5,=H2-F2,=ABS(J2),=K2/F2*100
subject01,2,10.0,50.0,1.4401,86.4,1.475,88.5,84.0,=H3-F3,=ABS(J3),=K3/F3*100
subject01,3,20.0,60.0,1.4437,86.62,1.5,90.0,108.0,=H4-F4,=ABS(J4),=K4/F4*100
subject01,4,30.0,70.0,1.4761,88.57,1.5,90.0,108.0,=H5-F5,=ABS(J5),=K5/F5*100
subject01,5,40.0,80.0,1.502,90.12,1.5,90.0,90.0,=H6-F6,=ABS(J6),=K6/F6*100
subject01,6,50.0,90.0,1.5054,90.32,1.5,90.0,90.0,=H7-F7,=ABS(J7),=K7/F7*100
subject01,7,60.0,100.0,1.4972,89.83,1.5,90.0,90.0,=H8-F8,=ABS(J8),=K8/F8*100
subject01,8,70.0,110.0,1.5004,90.02,1.5,90.0,85.5,=H9-F9,=ABS(J9),=K9/F9*100
subject01,9,80.0,120.0,1.4987,89.92,1.5,90.0,87.0,=H10-F10,=ABS(J10),=K10/F10*100
subject01,10,90.0,130.0,1.4941,89.65,1.5,90.0,91.5,=H11-F11,=ABS(J11),=K11/F11*100
subject01,11,100.0,140.0,1.5173,91.04,1.525,91.5,90.0,=H12-F12,=ABS(J12),=K12/F12*100
subject01,12,110.0,150.0,1.5224,91.34,1.525,91.5,91.5,=H13-F13,=ABS(J13),=K13/F13*100
subject01,13,120.0,160.0,1.5277,91.66,1.525,91.5,91.5,=H14-F14,=ABS(J14),=K14/F14*100
subject01,14,130.0,170.0,1.5329,91.98,1.525,91.5,91.5,=H15-F15,=ABS(J15),=K15/F15*100
subject01,15,140.0,180.0,1.5301,91.81,1.525,91.5,91.5,=H16-F16,=ABS(J16),=K16/F16*100
subject01,16,150.0,190.0,1.5093,90.56,1.525,91.5,91.5,=H17-F17,=ABS(J17),=K17/F17*100
subject01,17,160.0,200.0,1.4898,89.39,1.525,91.5,91.5,=H18-F18,=ABS(J18),=K18/F18*100
subject01,18,170.0,210.0,1.4823,88.94,1.5,90.0,87.0,=H19-F19,=ABS(J19),=K19/F19*100
subject01,19,180.0,220.0,1.4727,88.36,1.5,90.0,88.5,=H20-F20,=ABS(J20),=K20/F20*100
