subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject01,1,0.0,40.0,1.4386,86.32,1.4,84.0,88.5,-2.319999999999993,2.319999999999993,2.687673772011114
subject01,2,10.0,50.0,1.4401,86.4,1.475,88.5,84.0,2.0999999999999943,2.0999999999999943,2.4305555555555487
subject01,3,20.0,60.0,1.4437,86.62,1.5,90.0,108.0,3.3799999999999955,3.3799999999999955,3.902101131378429
subject01,4,30.0,70.0,1.4761,88.57,1.5,90.0,108.0,1.4300000000000068,1.4300000000000068,1.6145421700350084
subject01,5,40.0,80.0,1.502,90.12,1.5,90.0,90.0,-0.12000000000000455,0.12000000000000455,0.13315579227696908
subject01,6,50.0,90.0,1.5054,90.32,1.5,90.0,90.0,-0.3199999999999932,0.3199999999999932,0.35429583702390743
subject01,7,60.0,100.0,1.4972,89.83,1.5,90.0,90.0,0.1700000000000017,0.1700000000000017,0.18924635422464844
subject01,8,70.0,110.0,1.5004,90.02,1.5,90.0,85.5,-0.01999999999999602,0.01999999999999602,0.02221728504776274
subject01,9,80.0,120.0,1.4987,89.92,1.5,90.0,87.0,0.0799999999999983,0.0799999999999983,0.08896797153024721
subject01,10,90.0,130.0,1.4941,89.65,1.5,90.0,91.5,0.3499999999999943,0.3499999999999943,0.3904071388733902
subject01,11,100.0,140.0,1.5173,91.04,1.525,91.5,90.0,0.45999999999999375,0.45999999999999375,0.5052724077328578
subject01,12,110.0,150.0,1.5224,91.34,1.525,91.5,91.5,0.1599999999999966,0.1599999999999966,0.1751696956426501
subject01,13,120.0,160.0,1.5277,91.66,1.525,91.5,91.5,-0.1599999999999966,0.1599999999999966,0.17455814968360964
subject01,14,130.0,170.0,1.5329,91.98,1.525,91.5,91.5,-0.480000000000004,0.480000000000004,0.5218525766471015
subject01,15,140.0,180.0,1.5301,91.81,1.525,91.5,91.5,-0.3100000000000023,0.3100000000000023,0.33765385034310236
subject01,16,150.0,190.0,1.5093,90.56,1.525,91.5,91.5,0.9399999999999977,0.9399999999999977,1.037985865724379
subject01,17,160.0,200.0,1.4898,89.39,1.525,91.5,91.5,2.1099999999999994,2.1099999999999994,2.3604430025729943
subject01,18,170.0,210.0,1.4823,88.94,1.5,90.0,87.0,1.0600000000000023,1.0600000000000023,1.1918147065437399
subject01,19,180.0,220.0,1.4727,88.36,1.5,90.0,88.5,1.6400000000000006,1.6400000000000006,1.856043458578543
subject01,20,190.0,230.0,1.4845,89.07,1.5,90.0,88.5,0.9300000000000068,0.9300000000000068,1.044122600202096
subject01,21,200.0,240.0,1.4937,89.62,1.5,90.0,88.5,0.37999999999999545,0.37999999999999545,0.424012497210439
subject01,22,210.0,250.0,1.505,90.3,1.5,90.0,90.0,-0.29999999999999716,0.29999999999999716,0.3322259136212593
subject01,23,220.0,260.0,1.5219,91.31,1.5,90.0,90.0,-1.3100000000000023,1.3100000000000023,1.4346730916657564
subject01,24,230.0,270.0,1.5363,92.18,1.575,94.5,94.5,2.319999999999993,2.319999999999993,2.516814927316113
subject01,25,240.0,280.0,1.5595,93.57,1.575,94.5,94.5,0.9300000000000068,0.9300000000000068,0.9939083039435791
subject01,26,250.0,290.0,1.5713,94.28,1.575,94.5,94.5,0.21999999999999886,0.21999999999999886,0.23334747560458088
subject01,27,260.0,300.0,1.5679,94.08,1.575,94.5,94.5,0.4200000000000017,0.4200000000000017,0.44642857142857323
subject01,28,270.0,310.0,1.5585,93.51,1.575,94.5,94.5,0.9899999999999949,0.9899999999999949,1.0587102983638057
subject01,29,280.0,320.0,1.5247,91.48,1.525,91.5,91.5,0.01999999999999602,0.01999999999999602,0.021862702229991277
subject01,30,290.0,330.0,1.5035,90.21,1.475,88.5,88.5,-1.7099999999999937,1.7099999999999937,1.895576987030256
subject01,31,300.0,340.0,1.4839,89.03,1.475,88.5,87.0,-0.5300000000000011,0.5300000000000011,0.5953049533865001
subject01,32,310.0,350.0,1.4622,87.73,1.45,87.0,88.5,-0.730000000000004,0.730000000000004,0.8320984839849584
subject01,33,320.0,360.0,1.4526,87.15,1.45,87.0,67.5,-0.15000000000000568,0.15000000000000568,0.17211703958692562
subject01,34,330.0,370.0,1.4213,85.28,1.425,85.5,85.5,0.21999999999999886,0.21999999999999886,0.25797373358348835
subject01,35,340.0,380.0,1.4077,84.46,1.4,84.0,87.0,-0.45999999999999375,0.45999999999999375,0.544636514326301
subject01,36,350.0,390.0,1.3958,83.75,1.4,84.0,84.0,0.25,0.25,0.2985074626865672
subject01,37,360.0,400.0,1.4059,84.36,1.4,84.0,84.0,-0.35999999999999943,0.35999999999999943,0.42674253200568923
subject01,38,370.0,410.0,1.4343,86.06,1.4,84.0,84.0,-2.0600000000000023,2.0600000000000023,2.3936788287241484
subject01,39,380.0,420.0,1.4522,87.13,1.025,61.5,61.5,-25.629999999999995,25.629999999999995,29.415815448180876
subject02,1,0.0,40.0,1.2774,76.64,1.175,70.5,88.5,-6.140000000000001,6.140000000000001,8.011482254697286
subject02,2,10.0,50.0,1.2114,72.68,1.175,70.5,72.0,-2.180000000000007,2.180000000000007,2.999449642267483
subject02,3,20.0,60.0,1.1905,71.43,1.2,72.0,70.5,0.5699999999999932,0.5699999999999932,0.7979840403191839
subject02,4,30.0,70.0,1.1837,71.02,1.2,72.0,70.5,0.980000000000004,0.980000000000004,1.3798929878907407
subject02,5,40.0,80.0,1.1931,71.58,1.2,72.0,72.0,0.4200000000000017,0.4200000000000017,0.5867560771165155
subject02,6,50.0,90.0,1.2172,73.03,1.2,72.0,72.0,-1.0300000000000011,1.0300000000000011,1.4103792961796537
subject02,7,60.0,100.0,1.2322,73.93,1.25,75.0,75.0,1.0699999999999932,1.0699999999999932,1.4473150277289233
subject02,8,70.0,110.0,1.2481,74.88,1.25,75.0,75.0,0.12000000000000455,0.12000000000000455,0.16025641025641635
subject02,9,80.0,120.0,1.2934,77.6,1.25,75.0,75.0,-2.5999999999999943,2.5999999999999943,3.3505154639175188
subject02,10,90.0,130.0,1.2946,77.68,1.25,75.0,75.0,-2.680000000000007,2.680000000000007,3.4500514933058786
subject02,11,100.0,140.0,1.292,77.52,1.25,75.0,76.5,-2.519999999999996,2.519999999999996,3.250773993808045
subject02,12,110.0,150.0,1.2849,77.09,1.25,75.0,75.0,-2.0900000000000034,2.0900000000000034,2.7111168763782634
subject02,13,120.0,160.0,1.2423,74.54,1.25,75.0,75.0,0.45999999999999375,0.45999999999999375,0.6171183257311426
subject02,14,130.0,170.0,1.2384,74.3,1.25,75.0,55.5,0.7000000000000028,0.7000000000000028,0.9421265141319015
subject02,15,140.0,180.0,1.242,74.52,1.25,75.0,55.5,0.480000000000004,0.480000000000004,0.6441223832528234
subject02,16,150.0,190.0,1.2507,75.04,1.25,75.0,55.5,-0.04000000000000625,0.04000000000000625,0.05330490405118103
subject02,17,160.0,200.0,1.2591,75.55,1.25,75.0,76.5,-0.5499999999999972,0.5499999999999972,0.7279947054930472
subject02,18,170.0,210.0,1.2597,75.58,1.275,76.5,76.5,0.9200000000000017,0.9200000000000017,1.2172532415983086
subject02,19,180.0,220.0,1.2722,76.33,1.275,76.5,75.0,0.1700000000000017,0.1700000000000017,0.2227171492204922
subject02,20,190.0,230.0,1.2821,76.92,1.275,76.5,81.0,-0.4200000000000017,0.4200000000000017,0.5460218408736371
subject02,21,200.0,240.0,1.289,77.34,1.275,76.5,79.5,-0.8400000000000034,0.8400000000000034,1.0861132660977546
subject02,22,210.0,250.0,1.2973,77.84,1.275,76.5,91.5,-1.3400000000000034,1.3400000000000034,1.7214799588900351
subject02,23,220.0,260.0,1.2993,77.96,1.325,79.5,57.0,1.5400000000000063,1.5400000000000063,1.9753719856336664
subject02,24,230.0,270.0,1.3107,78.64,1.325,79.5,57.0,0.8599999999999994,0.8599999999999994,1.0935910478128172
subject02,25,240.0,280.0,1.3164,78.98,1.325,79.5,64.5,0.519999999999996,0.519999999999996,0.6583945302608205
subject02,26,250.0,290.0,1.3313,79.88,1.075,64.5,79.5,-15.379999999999995,15.379999999999995,19.253880821231842
subject02,27,260.0,300.0,1.3383,80.3,1.075,64.5,79.5,-15.799999999999997,15.799999999999997,19.67621419676214
subject02,28,270.0,310.0,1.3403,80.42,1.325,79.5,81.0,-0.9200000000000017,0.9200000000000017,1.1439940313354908
subject02,29,280.0,320.0,1.3437,80.62,1.325,79.5,58.5,-1.1200000000000045,1.1200000000000045,1.3892334408335456
subject02,30,290.0,330.0,1.3399,80.39,1.325,79.5,58.5,-0.8900000000000006,0.8900000000000006,1.1071028734917285
subject02,31,300.0,340.0,1.3312,79.87,1.3,78.0,79.5,-1.8700000000000045,1.8700000000000045,2.341304620007518
subject02,32,310.0,350.0,1.3204,79.22,1.3,78.0,79.5,-1.2199999999999989,1.2199999999999989,1.540015147689976
subject02,33,320.0,360.0,1.3137,78.82,1.3,78.0,78.0,-0.8199999999999932,0.8199999999999932,1.0403450900786517
subject02,34,330.0,370.0,1.3206,79.23,1.325,79.5,78.0,0.269999999999996,0.269999999999996,0.340780007572884
subject02,35,340.0,380.0,1.3237,79.42,1.325,79.5,76.5,0.0799999999999983,0.0799999999999983,0.10073029463610965
subject02,36,350.0,390.0,1.3221,79.33,1.3,78.0,85.5,-1.3299999999999983,1.3299999999999983,1.6765410311357598
subject02,37,360.0,400.0,1.3401,80.41,1.3,78.0,79.5,-2.4099999999999966,2.4099999999999966,2.997139659246358
subject02,38,370.0,410.0,1.3465,80.79,1.275,76.5,79.5,-4.290000000000006,4.290000000000006,5.3100631266245895
subject02,39,380.0,420.0,1.3634,81.8,0.925,55.5,55.5,-26.299999999999997,26.299999999999997,32.15158924205379
subject03,1,0.0,40.0,1.3103,78.62,0.975,58.5,76.5,-20.120000000000005,20.120000000000005,25.59145255660138
subject03,2,10.0,50.0,1.2943,77.66,1.075,64.5,76.5,-13.159999999999997,13.159999999999997,16.94566057172289
subject03,3,20.0,60.0,1.2891,77.34,1.075,64.5,58.5,-12.840000000000003,12.840000000000003,16.602017067494184
subject03,4,30.0,70.0,1.2868,77.21,1.075,64.5,76.5,-12.709999999999994,12.709999999999994,16.461598238570126
subject03,5,40.0,80.0,1.2916,77.5,1.075,64.5,96.0,-13.0,13.0,16.7741935483871
subject03,6,50.0,90.0,1.3066,78.4,1.075,64.5,64.5,-13.900000000000006,13.900000000000006,17.729591836734702
subject03,7,60.0,100.0,1.31,78.6,1.075,64.5,63.0,-14.099999999999994,14.099999999999994,17.938931297709917
subject03,8,70.0,110.0,1.3085,78.51,1.1,66.0,58.5,-12.510000000000005,12.510000000000005,15.934275888421862
subject03,9,80.0,120.0,1.3185,79.11,1.1,66.0,57.0,-13.11,13.11,16.57186196435343
subject03,10,90.0,130.0,1.3077,78.46,1.1,66.0,79.5,-12.459999999999994,12.459999999999994,15.880703543206723
