subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,error_bpm,galat_mutlak_bpm,galat_persen
subject01,1,0,20,1.4805,88.83,1.45,87,87,=H2-F2,=ABS(J2),=K2/F2*100
subject01,2,5,25,1.4625,87.75,1.45,87,87,=H3-F3,=ABS(J3),=K3/F3*100
subject01,3,10,30,1.4219,85.32,1.45,87,87,=H4-F4,=ABS(J4),=K4/F4*100
subject01,4,15,35,1.4122,84.73,1.4,84,81,=H5-F5,=ABS(J5),=K5/F5*100
subject01,5,20,40,1.3967,83.8,1.4,84,81,=H6-F6,=ABS(J6),=K6/F6*100
subject01,6,25,45,1.4121,84.72,1.4,84,84,=H7-F7,=ABS(J7),=K7/F7*100
subject01,7,30,50,1.4582,87.49,1.45,87,87,=H8-F8,=ABS(J8),=K8/F8*100
subject01,8,35,55,1.4672,88.03,1.5,90,108,=H9-F9,=ABS(J9),=K9/F9*100
subject01,9,40,60,1.4907,89.44,1.5,90,108,=H10-F10,=ABS(J10),=K10/F10*100
subject01,10,45,65,1.4947,89.68,1.5,90,90,=H11-F11,=ABS(J11),=K11/F11*100
subject01,11,50,70,1.494,89.64,1.5,90,90,=H12-F12,=ABS(J12),=K12/F12*100
subject01,12,55,75,1.5097,90.58,1.5,90,90,=H13-F13,=ABS(J13),=K13/F13*100
subject01,13,60,80,1.5134,90.8,1.5,90,90,=H14-F14,=ABS(J14),=K14/F14*100
subject01,14,65,85,1.5227,91.36,1.5,90,90,=H15-F15,=ABS(J15),=K15/F15*100
subject01,15,70,90,1.5167,91,1.5,90,90,=H16-F16,=ABS(J16),=K16/F16*100
subject01,16,75,95,1.5022,90.13,1.5,90,90,=H17-F17,=ABS(J17),=K17/F17*100
subject01,17,80,100,1.481,88.86,1.5,90,90,=H18-F18,=ABS(J18),=K18/F18*100
subject01,18,85,105,1.4793,88.76,1.5,90,87,=H19-F19,=ABS(J19),=K19/F19*100
subject01,19,90,110,1.4841,89.04,1.5,90,87,=H20-F20,=ABS(J20),=K20/F20*100
subject01,20,95,115,1.5015,90.09,1.5,90,90,=H21-F21,=ABS(J21),=K21/F21*100
subject01,21,100,120,1.5163,90.98,1.5,90,93,=H22-F22,=ABS(J22),=K22/F22*100
