subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject01,1,0.0,20.0,1.4805,88.83,1.45,87.0,87.0,-1.8299999999999983,1.8299999999999983,2.060114826072271
subject01,2,5.0,25.0,1.4625,87.75,1.45,87.0,87.0,-0.75,0.75,0.8547008547008548
subject01,3,10.0,30.0,1.4219,85.32,1.45,87.0,87.0,1.6800000000000068,1.6800000000000068,1.969057665260205
subject01,4,15.0,35.0,1.4122,84.73,1.4,84.0,81.0,-0.730000000000004,0.730000000000004,0.8615602502065431
subject01,5,20.0,40.0,1.3967,83.8,1.4,84.0,81.0,0.20000000000000284,0.20000000000000284,0.2386634844868769
subject01,6,25.0,45.0,1.4121,84.72,1.4,84.0,84.0,-0.7199999999999989,0.7199999999999989,0.8498583569405086
subject01,7,30.0,50.0,1.4582,87.49,1.45,87.0,87.0,-0.4899999999999949,0.4899999999999949,0.560064007315116
subject01,8,35.0,55.0,1.4672,88.03,1.5,90.0,108.0,1.9699999999999989,1.9699999999999989,2.237873452232192
subject01,9,40.0,60.0,1.4907,89.44,1.5,90.0,108.0,0.5600000000000023,0.5600000000000023,0.6261180679785356
subject01,10,45.0,65.0,1.4947,89.68,1.5,90.0,90.0,0.3199999999999932,0.3199999999999932,0.35682426404994777
subject01,11,50.0,70.0,1.494,89.64,1.5,90.0,90.0,0.35999999999999943,0.35999999999999943,0.4016064257028106
subject01,12,55.0,75.0,1.5097,90.58,1.5,90.0,90.0,-0.5799999999999983,0.5799999999999983,0.640317950982555
subject01,13,60.0,80.0,1.5134,90.8,1.5,90.0,90.0,-0.7999999999999972,0.7999999999999972,0.8810572687224639
subject01,14,65.0,85.0,1.5227,91.36,1.5,90.0,90.0,-1.3599999999999994,1.3599999999999994,1.4886164623467595
subject01,15,70.0,90.0,1.5167,91.0,1.5,90.0,90.0,-1.0,1.0,1.098901098901099
subject01,16,75.0,95.0,1.5022,90.13,1.5,90.0,90.0,-0.12999999999999545,0.12999999999999545,0.144236103406186
subject01,17,80.0,100.0,1.481,88.86,1.5,90.0,90.0,1.1400000000000006,1.1400000000000006,1.2829169480081033
subject01,18,85.0,105.0,1.4793,88.76,1.5,90.0,87.0,1.2399999999999949,1.2399999999999949,1.3970256872465014
subject01,19,90.0,110.0,1.4841,89.04,1.5,90.0,87.0,0.9599999999999937,0.9599999999999937,1.078167115902958
subject01,20,95.0,115.0,1.5015,90.09,1.5,90.0,90.0,-0.09000000000000341,0.09000000000000341,0.09990009990010368
subject01,21,100.0,120.0,1.5163,90.98,1.5,90.0,93.0,-0.980000000000004,0.980000000000004,1.077159815344036
subject01,22,105.0,125.0,1.5052,90.31,1.5,90.0,90.0,-0.3100000000000023,0.3100000000000023,0.34326209722068685
subject01,23,110.0,130.0,1.5042,90.25,1.5,90.0,90.0,-0.25,0.25,0.2770083102493075
subject01,24,115.0,135.0,1.5032,90.19,1.5,90.0,90.0,-0.18999999999999773,0.18999999999999773,0.2106663709945645
